time	V(vout)
Step Information: X=494.1  (Run: 6/6)
4.397975097654791e-003	4.152790e+002
4.398000000000001e-003	4.153434e+002
4.400000000000000e-003	4.200998e+002
4.400017256197861e-003	4.201373e+002
4.400051768593581e-003	4.202108e+002
4.400120793385024e-003	4.203214e+002
4.400250000000001e-003	4.204333e+002
4.407750000000000e-003	4.151486e+002
4.407759880466290e-003	4.151417e+002
4.407779641398870e-003	4.151278e+002
4.407819163264028e-003	4.151217e+002
4.407898206994344e-003	4.151740e+002
4.407898231846152e-003	4.151740e+002
4.407898977400393e-003	4.151760e+002
4.407899772658250e-003	4.151780e+002
4.407901363173963e-003	4.151821e+002
4.407904544205390e-003	4.151903e+002
4.407910906268244e-003	4.152068e+002
4.407923630393951e-003	4.152397e+002
4.407949078645365e-003	4.153058e+002
4.407950644309221e-003	4.153098e+002
4.407952234824885e-003	4.153139e+002
4.407955415856212e-003	4.153222e+002
4.407961777918867e-003	4.153387e+002
4.407974651159797e-003	4.153719e+002
4.408000000000001e-003	4.154374e+002
4.410000000000000e-003	4.201888e+002
4.410025000000000e-003	4.202430e+002
4.410074999999999e-003	4.203295e+002
4.410150000000001e-003	4.203746e+002
4.410250000000000e-003	4.203344e+002
4.417750000000001e-003	4.150510e+002
4.417775000000001e-003	4.150335e+002
4.417825000000000e-003	4.150230e+002
4.417900000000001e-003	4.150688e+002
4.417900024414063e-003	4.150688e+002
4.417900756835938e-003	4.150707e+002
4.417901538085938e-003	4.150728e+002
4.417903100585938e-003	4.150768e+002
4.417906225585938e-003	4.150849e+002
4.417912475585938e-003	4.151011e+002
4.417924975585939e-003	4.151335e+002
4.417949975585938e-003	4.151984e+002
4.417951513671839e-003	4.152024e+002
4.417953076171802e-003	4.152065e+002
4.417956201171728e-003	4.152145e+002
4.417962451171579e-003	4.152307e+002
4.417975097659230e-003	4.152635e+002
4.418000000000001e-003	4.153278e+002
4.420000000000000e-003	4.200847e+002
4.420024877308807e-003	4.201386e+002
4.420074631926421e-003	4.202248e+002
4.420150490764772e-003	4.202705e+002
4.420250000000001e-003	4.202308e+002
4.427750000000000e-003	4.149487e+002
4.427775000000000e-003	4.149312e+002
4.427825000000000e-003	4.149208e+002
4.427900000000000e-003	4.149667e+002
4.427900024414063e-003	4.149667e+002
4.427900756835938e-003	4.149686e+002
4.427901538085938e-003	4.149706e+002
4.427903100585938e-003	4.149747e+002
4.427906225585938e-003	4.149828e+002
4.427912475585938e-003	4.149990e+002
4.427924975585938e-003	4.150314e+002
4.427949975585938e-003	4.150964e+002
4.427951513671839e-003	4.151004e+002
4.427953076171802e-003	4.151045e+002
4.427956201171727e-003	4.151126e+002
4.427962451171578e-003	4.151288e+002
4.427975097659230e-003	4.151616e+002
4.428000000000001e-003	4.152260e+002
4.430000000000000e-003	4.199898e+002
4.430024877308807e-003	4.200439e+002
4.430074631926421e-003	4.201301e+002
4.430150490764773e-003	4.201760e+002
4.430250000000000e-003	4.201364e+002
4.437750000000001e-003	4.148554e+002
4.437775000000001e-003	4.148379e+002
4.437825000000000e-003	4.148275e+002
